freq,function,item,label,position,word
6961417.875,Det,1,subj_ext,1,The
1328.625,N,1,subj_ext,2,reporter
232455.375,wh,1,subj_ext,3,who
15429.375,Vd,1,subj_ext,4,sent
6961417.875,Det,1,subj_ext,5,the
1257.75,N,1,subj_ext,6,photographer
2880389.25,P,1,subj_ext,7,to
6961417.875,Det,1,subj_ext,8,the
4398.75,N,1,subj_ext,9,editor
1039471.875,Vt,1,subj_ext,10,was
6961417.875,Det,2,subj_ext,1,The
26114.625,N,2,subj_ext,2,woman
232455.375,wh,2,subj_ext,3,who
5689.125,Vd,2,subj_ext,4,pushed
6961417.875,Det,2,subj_ext,5,the
69860.25,N,2,subj_ext,6,man
183903.75,P,2,subj_ext,7,into
6961417.875,Det,2,subj_ext,8,the
22725.0,N,2,subj_ext,9,table
52975.125,Vt,2,subj_ext,10,left
6961417.875,Det,3,subj_ext,1,The
1902.375,N,3,subj_ext,2,singer
232455.375,wh,3,subj_ext,3,who
9732.375,Vd,3,subj_ext,4,introduced
6961417.875,Det,3,subj_ext,5,the
1072.125,N,3,subj_ext,6,composer
2880389.25,P,3,subj_ext,7,to
6961417.875,Det,3,subj_ext,8,the
700.875,N,3,subj_ext,9,musician
1039471.875,Vt,3,subj_ext,10,was
6961417.875,Det,4,subj_ext,1,The
14951.25,N,4,subj_ext,2,boy
232455.375,wh,4,subj_ext,3,who
7900.875,Vd,4,subj_ext,4,pulled
6961417.875,Det,4,subj_ext,5,the
17732.25,N,4,subj_ext,6,girl
183903.75,P,4,subj_ext,7,into
6961417.875,Det,4,subj_ext,8,the
2161.125,N,4,subj_ext,9,mud
501070.5,Vt,4,subj_ext,10,had
6961417.875,Det,5,subj_ext,1,The
25.875,N,5,subj_ext,2,hiker
232455.375,wh,5,subj_ext,3,who
44055.0,Vd,5,subj_ext,4,took
6961417.875,Det,5,subj_ext,5,the
228.375,N,5,subj_ext,6,ranger
2880389.25,P,5,subj_ext,7,to
6961417.875,Det,5,subj_ext,8,the
130.5,N,5,subj_ext,9,campsite
1039471.875,Vt,5,subj_ext,10,was
6961417.875,Det,6,subj_ext,1,The
3.375,N,6,subj_ext,2,busboy
232455.375,wh,6,subj_ext,3,who
22909.5,Vd,6,subj_ext,4,brought
6961417.875,Det,6,subj_ext,5,the
844.875,N,6,subj_ext,6,waiter
2880389.25,P,6,subj_ext,7,to
6961417.875,Det,6,subj_ext,8,the
22725.0,N,6,subj_ext,9,table
12.375,Vt,6,subj_ext,10,didnt
6961417.875,Det,7,subj_ext,1,The
857.25,N,7,subj_ext,2,gardener
232455.375,wh,7,subj_ext,3,who
4205.25,Vd,7,subj_ext,4,recommended
6961417.875,Det,7,subj_ext,5,the
1386.0,N,7,subj_ext,6,painter
2880389.25,P,7,subj_ext,7,to
6961417.875,Det,7,subj_ext,8,the
10.125,N,7,subj_ext,9,homeowner
