decay_interval__,noise_interval__,threshold,lf_log__,le_log__,decay,noise,lf,le,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5,mu_rt__6,mu_rt__7,mu_rt__8,mu_rt__9,mu_rt__10,mu_rt__11,mu_rt__12,mu_rt__13,mu_rt__14,mu_rt__15,mu_prob__0,mu_prob__1,mu_prob__2,mu_prob__3,mu_prob__4,mu_prob__5,mu_prob__6,mu_prob__7,mu_prob__8,mu_prob__9,mu_prob__10,mu_prob__11,mu_prob__12,mu_prob__13,mu_prob__14,mu_prob__15
-1.2635525444749058,-0.6171492933482151,-1.5040282683591986,-1.5757136175828332,-1.576824188958929,0.2203629477152264,1.7521503873458393,0.20685988114854797,0.20663027600573053,0.5392,0.5521,0.5596,0.5656,0.5707,0.5759,0.5801,0.5837,0.5876,0.5911,0.5943,0.5969,0.6031,0.612,0.6268,0.6647,0.9868276926369587,0.9774496494403159,0.9706265316146766,0.9642810085270404,0.9583356284073526,0.9517665587027627,0.9459979093199079,0.9407604220055272,0.9348425073124672,0.9293024617961518,0.9238850413936005,0.9195202163531521,0.9082083472415131,0.8908180826618088,0.8588592701999535,0.7633533679149928
-0.9541096452183901,-0.6069302496878507,-2.5476333828196522,-1.7139212474195822,-1.4538589823207333,0.27805909063411366,1.7637988353650478,0.1801579617914086,0.23366682983497072,0.5362,0.5504,0.5586,0.5654,0.5712,0.5771,0.582,0.5861,0.5906,0.5947,0.5985,0.6015,0.6088,0.6194,0.6373,0.684,0.9862061497886276,0.9764772628711709,0.9694203030742758,0.9628695746681618,0.9567410844966947,0.9499784903616377,0.9440467591934192,0.9386657323602008,0.932592075777067,0.9269109448615437,0.9213578315070992,0.9168887613510318,0.9053150175027614,0.8875503012894324,0.8549801628935991,0.758110152616734
-2.2487602558318325,-0.48436517799545237,0.6359144815354665,-1.1745282220275346,-1.6273518071375173,0.09545645634265039,1.9061094159168812,0.30896470805312926,0.19644912105326395,0.5393,0.5515,0.5585,0.5642,0.569,0.5738,0.5777,0.5811,0.5847,0.5879,0.5909,0.5932,0.5989,0.6071,0.6205,0.6548,0.9833099948517463,0.9727005562963774,0.9652378161590911,0.9584367664274426,0.9521628410050995,0.9453239759853342,0.9393879329869144,0.9340492363979405,0.9280655336959515,0.9225084045092998,0.9171160880091664,0.9127918680249552,0.9016851746161202,0.8848398386101448,0.8544550962683671,0.766428387412633
-2.4684812212615213,-0.6375074493171883,1.3539432539484546,-0.9962504420138416,-1.547516746787988,0.07809751456094742,1.7290510050563594,0.3692614157458119,0.21277569425002507,0.5376,0.5506,0.5581,0.5642,0.5694,0.5747,0.579,0.5827,0.5866,0.5902,0.5935,0.5961,0.6024,0.6116,0.6267,0.6658,0.9861809553593335,0.9761863685701264,0.9688862998810587,0.9620838906082985,0.9557020096408931,0.9486444217231851,0.9424429414145141,0.936811805472008,0.9304448580866357,0.9244840550203491,0.9186602431480078,0.9139625882638359,0.9017987013041736,0.8831145410459309,0.8488546130029504,0.7473479453927496
-1.1995075113542075,-0.5363073011886252,-1.8398305094402703,-1.5607715693638582,-1.4969486138658685,0.23156283907906297,1.845235077342386,0.20997399917892848,0.22381205626029155,0.5367,0.5503,0.5582,0.5646,0.5701,0.5757,0.5802,0.5842,0.5884,0.5922,0.5958,0.5985,0.6054,0.6153,0.6318,0.6747,0.9847409583420138,0.9746083079544534,0.9673888250715226,0.9607583155731756,0.9546053753541918,0.9478633131704687,0.9419849876299259,0.9366780408088792,0.9307129183065622,0.9251557412693988,0.9197442874393448,0.9154000322132102,0.904198538783436,0.887118145241458,0.8560776828999969,0.7649814424086893
-2.7156078248125994,-0.6004866940572179,1.583326485781849,-0.695820253735738,-1.3982562744677147,0.0620586319525029,1.7711617686954428,0.4986652481515539,0.2470273364805593,0.5335,0.5478,0.5562,0.5632,0.5692,0.5753,0.5803,0.5847,0.5894,0.5936,0.5976,0.6007,0.6084,0.6196,0.6385,0.6884,0.9853413819624255,0.9750775690418372,0.9676542436263368,0.9607774606539303,0.9543546130536562,0.9472791167866736,0.9410824094175823,0.935470412824444,0.9291398268638325,0.9232261678116683,0.9174600770471406,0.912815699625001,0.9008180726824292,0.8824556443035808,0.8489471019969043,0.7503760023086415
-0.6693593609518894,-0.7474297962797689,-3.370225017099011,-2.0057564388279068,-1.6196706377180137,0.3386403054362289,1.6069079653438307,0.13455847193584236,0.19796389018590277,0.5427,0.5558,0.5633,0.5693,0.5744,0.5796,0.5838,0.5874,0.5912,0.5947,0.5979,0.6004,0.6066,0.6153,0.6299,0.667,0.9890095670485608,0.9802133964500216,0.9735756779408711,0.9672665252575982,0.9612563372182426,0.9545197544459192,0.9485312054804557,0.9430402978066298,0.9367837798580204,0.9308787582722496,0.925059340683739,0.9203481066951344,0.9080298106369328,0.8888423425224231,0.8529684708319374,0.7431561590132749
-0.8951661692090611,-0.6168799865640161,-2.6844204178337576,-1.7883594429555767,-1.484501478806846,0.29004486310095057,1.7524569096428975,0.16723430215303262,0.22661528504383627,0.5369,0.5507,0.5587,0.5653,0.5709,0.5766,0.5813,0.5853,0.5896,0.5935,0.5972,0.6,0.6071,0.6172,0.6342,0.6785,0.9859119075935132,0.9758973263434156,0.96861839417754,0.9618542993089977,0.9555215061719745,0.9485294585452352,0.9423938289263869,0.9368260896303853,0.9305405092510908,0.9246601336717356,0.9189112053187226,0.9142847222997776,0.9023022687877178,0.8839117756550996,0.8502117684579842,0.7502556140662424
-4.490508302582199,-0.5205154480347848,2.30239120675276,-0.4335061466939977,-1.403031771526483,0.011090561772123628,1.8636585629911546,0.6482323081177419,0.24585047045844605,0.5354,0.5502,0.5589,0.5661,0.5722,0.5785,0.5837,0.5881,0.593,0.5973,0.6014,0.6046,0.6125,0.624,0.6433,0.6945,0.9841898398191994,0.9738351864116419,0.9664890181461708,0.9597601831731566,0.9535287032700603,0.9467136373577864,0.9407814487933226,0.9354350552954352,0.9294289449503115,0.9238405644506591,0.9184117631984614,0.9140491949967139,0.9028260871576331,0.8857521585122506,0.8548299696750519,0.7647023632104897
-1.2457139948546059,-0.5516047132997978,-1.5835262095754263,-1.5148061331608136,-1.4958763764021543,0.22344294853169128,1.8274609171978942,0.21985080249672642,0.2240521646354381,0.5373,0.551,0.559,0.5655,0.5711,0.5767,0.5814,0.5854,0.5896,0.5935,0.5971,0.5999,0.6069,0.6168,0.6335,0.677,0.9844878422614431,0.9740644021082631,0.9666150231702497,0.9597619632658861,0.9533949936543407,0.94641189738781,0.9403189525914891,0.9348154261493523,0.9286265043809508,0.9228587655903917,0.9172410004622333,0.912729917305972,0.9010960643008524,0.8833529784414959,0.851113763071896,0.7567170062711605
