decay_interval__,noise_interval__,threshold,lf_log__,le_log__,decay,noise,lf,le,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5,mu_rt__6,mu_rt__7,mu_rt__8,mu_rt__9,mu_rt__10,mu_rt__11,mu_rt__12,mu_rt__13,mu_rt__14,mu_rt__15,mu_prob__0,mu_prob__1,mu_prob__2,mu_prob__3,mu_prob__4,mu_prob__5,mu_prob__6,mu_prob__7,mu_prob__8,mu_prob__9,mu_prob__10,mu_prob__11,mu_prob__12,mu_prob__13,mu_prob__14,mu_prob__15
-1.898051483406545,-0.5847991098739347,0.12517069695079064,-2.416363220400193,0.9673898072141585,0.1303291669683345,1.7891453387450262,0.08924559454328812,2.6310678942414505,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7302,0.9860837592782125,0.9764520797648301,0.9695045751238628,0.9630768803092693,0.9570783869725941,0.9504737481771263,0.9446912314370386,0.9394544724086746,0.9335486460284784,0.9280313739325684,0.922648863845839,0.9183152786706132,0.9071131348922818,0.8899522044650408,0.858568531405163,0.7655423564724322
-2.971678051279703,-0.5698707736292278,1.6571660299957105,0.17406919176888697,0.7777593654305629,0.048721889643038904,1.8063332184823802,1.1901379107187973,2.1765898552191394,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7303,0.9855828307545362,0.975734708058731,0.9686598877599546,0.9621306863290187,0.9560491123182123,0.9493645063641153,0.9435206714239526,0.9382354443736184,0.9322800294862176,0.9267223791888285,0.9213081954061724,0.9169494314552417,0.9056990886905221,0.8884973054862477,0.8571259008708537,0.7646164390009468
-2.288644995843578,-0.54493435909509,0.8293830756476317,-0.3459219816741598,0.6915318742720172,0.09206775387554153,1.83520236498636,0.7075676881995773,1.9967719952342213,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7302,0.7319,0.9846780732906343,0.9744365496172525,0.9671275791147194,0.960409231906028,0.9541709418307984,0.9473325910730974,0.9413684091612958,0.9359840926359355,0.9299283894179886,0.9242863611391238,0.9187965040916114,0.9143838236278014,0.9030125054343948,0.8856757073705355,0.8541863169697504,0.76199513173923
-3.822052395209491,-0.6792178888994939,2.446777827209946,-2.7991780739444683,0.18082558531631177,0.021414238131702415,1.6821794201906461,0.06086006454625406,1.1982061763159,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7301,0.7304,0.9875642704916714,0.9782220322366084,0.9713154645152199,0.964832311760796,0.9587151356153681,0.9519166020501278,0.9459168897331405,0.9404506351371741,0.9342492633135067,0.9284260498055866,0.9227234868720591,0.9181111630625446,0.9061320842099332,0.8876347253373971,0.8534653929276627,0.7509146930351013
-4.340270665129849,-0.6473475513884909,2.4642898124122836,0.17891901854240888,0.6532270194179277,0.012865326347143533,1.7179375462066622,1.1959238925863558,1.921732301092282,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7302,0.9874790835051608,0.9783272190436841,0.9716157101189019,0.9653448858444965,0.9594483859827774,0.9529139603700602,0.9471610684085399,0.9419293107728943,0.9360033335486361,0.9304467579044573,0.9250121674983908,0.9206204773850155,0.9092298124993434,0.8916740042217919,0.8593075153448361,0.7621970652568376
-4.082043374824458,-0.6945899355105674,2.6904061951057123,-0.07624358934276454,0.9779970158423168,0.016592980069751607,1.665063991266401,0.9265904715032061,2.659124719547907,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.9869805308235415,0.9770790900627526,0.9697361375816941,0.9628323485403738,0.9563114966472953,0.9490589557663528,0.9426553646303075,0.9368194787778878,0.9301975129336046,0.9239788988529913,0.9178894007856702,0.9129642818085505,0.9001760923793647,0.8804432715102889,0.844059403430429,0.7356464654761442
-1.750477016282033,-0.6244776554934641,-0.052164535007539245,-4.779811278108169,0.29653555992928515,0.1479870424381311,1.743818824072891,0.008397583625825586,1.3451903940220458,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7301,0.7306,0.9863815225494921,0.9766351940260362,0.9695365043415913,0.96293180615642,0.956742146079715,0.9499027465904385,0.9438968520999005,0.9384451258991687,0.9322846196328126,0.9265186736149682,0.9208840517643748,0.9163423944592369,0.9045805910037347,0.8865144393511644,0.8533724097856727,0.7548791251330439
-5.022270680168397,-0.5949787030635291,2.3964059976629413,-0.7044081972127902,0.5436607955323498,0.0065464090849935725,1.7774666289318444,0.49440107563059815,1.7223003249511701,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7302,0.9869661619036876,0.9778562424043502,0.971262977323845,0.9651499676199378,0.959435061927404,0.9531329330585676,0.9476074698464113,0.9425987175767634,0.9369415409151983,0.931650994912822,0.9264884594716112,0.9223240154154844,0.9115509106127708,0.8950116863604687,0.8646645895452368,0.7740683341983869
-3.485840300996602,-0.6865533052042042,2.318681423646573,0.2009878015448528,0.5216277993600952,0.02971781335451442,1.6740012287960737,1.2226098577808504,1.6847678829005814,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7302,0.7311,0.9876120964166017,0.9782457985514609,0.9713080685325558,0.9647883411835141,0.9586315101255914,0.9517840603089395,0.9457376147694618,0.9402262015501139,0.9339712400613572,0.928095545838407,0.9223395199135521,0.9176831350129492,0.905585033482269,0.8868944150219525,0.852348287041661,0.7486301936983784
-2.326986138882306,-0.5249857173117753,0.8411975745583148,-0.3110107960243329,0.8959962064891283,0.08891250502278254,1.858435736088551,0.7327059655151998,2.449775056061724,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7304,0.9842753376380335,0.9739380767614558,0.9665962169151953,0.9598668418139146,0.9536318180950464,0.9468097334276062,0.9408691509728114,0.9355128384556511,0.9294953671300594,0.9238948328221643,0.9184504052092347,0.9140773870890487,0.9028205209655771,0.8856870526413622,0.8546358773848776,0.7640197185306052
